Super built-up Area,availability,location,size_BHK,society,total_sqft,bath,balcony,price
Super built-up Area,Ready to move,Thanisandra,3,Bhmesy,1917,3,2,110
Plot Area,Ready to move,Nagarbhavi,4,Unknown Society,1200,3,1,340
Super built-up Area,Ready to move,Srinivas Colony,3,Unknown Society,2750,3,2,943
Built-up Area,Ready to move,Sarjapur Road,3,Viissmi,1400,3,2,55
Built-up Area,Ready to move,Thubarahalli,3,ShdhiSa,2625,3,3,175
Built-up Area,Ready to move,Sahakara Nagar,2,Unknown Society,1100,2,1,55
Super built-up Area,Ready to move,Hennur Road,3,SaireSa,2041,3,3,128
Super built-up Area,Ready to move,Sarjapur Road,3,SoniaEt,2070,4,2,160
Super built-up Area,Ready to move,Hebbal,3,Arcia S,1110,3,3,59
Built-up Area,Ready to move,Uday Nagar,3,Koncyad,1650,3,1,110
Plot Area,Ready to move,Ambedkar Nagar,4,Thessrm,3565,4,3,255
Super built-up Area,Ready to move,Varthur Road,3,Unknown Society,1033,2,2,30
Super built-up Area,Ready to move,HSR Layout,2,Siestr,1142,2,2,65
Super built-up Area,Ready to move,Mathikere,3,Unknown Society,1500,2,2,75
Super built-up Area,Ready to move,Electronic City Phase II,3,Rie 2ri,1502,3,3,50
Super built-up Area,Ready to move,Shree Ananth Nagar Layout,3,PrinePr,1176,2,1,45
Super built-up Area,Ready to move,Hosa Road,2,Unknown Society,1063,2,1,32
Built-up Area,Ready to move,Kammanahalli,2,Unknown Society,1100,2,1,60
Plot Area,Ready to move,Kamakshipalya,2,Unknown Society,1044,2,2,85
Plot Area,Ready to move,Sarjapur Road,3,Adeatlm,5400,3,2,700
Built-up Area,Ready to move,6th Phase JP Nagar,2,Unknown Society,1216,2,2,60
Super built-up Area,Ready to move,Suddaguntepalya,3,MSanaer,1425,3,2,55
Plot Area,Ready to move,Hongasandra,8,Unknown Society,1200,8,2,150
Super built-up Area,Ready to move,Hosur Road,2,Saageat,1345,2,2,108
Super built-up Area,Ready to move,Marathahalli,2,Unknown Society,1248,2,1,130
Plot Area,Ready to move,Chaitanya Ananya,4,SRgio V,1830,4,2,325
Built-up Area,Ready to move,Shankarapuram,2,Unknown Society,900,1,0,130
Built-up Area,Ready to move,Bellandur,4,Vaodssh,3600,4,1,245
Super built-up Area,Ready to move,Uttarahalli,2,Unknown Society,1025,2,1,35
Plot Area,Ready to move,Nagashetty Halli,2,Unknown Society,840,1,1,99
Super built-up Area,Ready to move,Lakshminarayana Pura,3,Srasy F,3050,2,1,90
Super built-up Area,Ready to move,Kadubeesanahalli,3,Unknown Society,1424,2,2,75
Built-up Area,Ready to move,EPIP Zone,3,Unknown Society,2500,3,1,268
Plot Area,Ready to move,ISRO Layout,6,Unknown Society,1200,6,1,230
Super built-up Area,Ready to move,Byrasandra Extension,2,Unknown Society,1285,2,2,45
Super built-up Area,Ready to move,Babusapalaya,2,Unknown Society,1450,2,1,55
Super built-up Area,Ready to move,Raja Rajeshwari Nagar,2,Prllsan,1160,2,1,70
Plot Area,Ready to move,Yelahanka New Town,3,Unknown Society,2700,3,0,350
Plot Area,Ready to move,Gattahalli,3,Miiewa,2000,2,2,95
Super built-up Area,Ready to move,Uttarahalli,2,Aklia R,1125,2,1,47
Built-up Area,Ready to move,Old Madras Road,4,Saive L,3900,4,2,175
Built-up Area,Ready to move,Raja Rajeshwari Nagar,2,GrrvaGr,1133,2,1,38
Super built-up Area,Ready to move,Arekere,2,Nihtsss,1240,2,2,60
Super built-up Area,Ready to move,Devanahalli,3,Sabixtt,1466,3,3,77
Super built-up Area,Ready to move,Outer Ring Road East,4,PrstaTe,3870,4,2,411
Super built-up Area,Ready to move,Ramagondanahalli,3,DNeremo,1610,2,2,115
Super built-up Area,Ready to move,Sarjapur Road,3,Unknown Society,1220,3,2,56
Built-up Area,Ready to move,Kaggadasapura,2,VSomepi,1225,2,2,48
Super built-up Area,Ready to move,Akshaya Nagar,2,Javasi,1300,2,1,54
Super built-up Area,Ready to move,Thanisandra,3,G conTh,1996,4,1,123
Super built-up Area,Ready to move,Mallathahalli,3,Unknown Society,1320,2,2,55
Super built-up Area,Ready to move,Rajaji Nagar,3,Brway G,1800,3,2,240
Super built-up Area,Ready to move,Richmond Town,3,Unknown Society,1835,3,3,175
Super built-up Area,Ready to move,Sarjapur Road,3,PuineSu,1435,3,2,90
Super built-up Area,Ready to move,Whitefield,3,VDarmlo,4097,3,1,400
Super built-up Area,Ready to move,Rayasandra,3,MJeusyl,1601,3,3,70
Super built-up Area,Ready to move,Kadubeesanahalli,2,Krshi G,1257,2,2,93
Super built-up Area,Ready to move,Iblur Village,4,Emine P,3596,5,1,260
Super built-up Area,Ready to move,Kasavanhalli,2,Salisal,1309,2,2,95
Plot Area,Ready to move,Yeshwanthpur,2,Unknown Society,1362,2,0,100
Super built-up Area,Ready to move,Whitefield,2,Gamesti,1115,2,1,55
Super built-up Area,Ready to move,Whitefield,3,Brony H,1870,3,2,90
Super built-up Area,Ready to move,manyata park,2,Unknown Society,1322,2,1,61
Super built-up Area,Ready to move,Telecom Layout,3,Unknown Society,1450,2,1,65
Super built-up Area,Ready to move,Banashankari,2,Goeesem,1185,2,2,67
Super built-up Area,Ready to move,7th Phase JP Nagar,3,Eladero,1790,3,3,120
Plot Area,Ready to move,Whitefield,3,StodsWa,3450,4,2,208
Super built-up Area,Ready to move,Rachenahalli,2,Unknown Society,1050,2,2,52
Super built-up Area,Ready to move,Budigere,1,PrityTr,664,1,0,27
Plot Area,Ready to move,Sarjapur Road,4,Adeatlm,5400,4,2,750
Super built-up Area,Ready to move,Devanahalli,1,Unknown Society,775,1,0,39
Built-up Area,Ready to move,Hoodi,2,Macanr,1000,2,2,48
Super built-up Area,Ready to move,Thanisandra,2,Bhe 2ko,1183,2,1,77
Super built-up Area,Ready to move,Binny Pete,3,Shestlo,1282,3,2,178
Super built-up Area,Ready to move,Alur,1,Unknown Society,425,1,1,15
Built-up Area,Ready to move,Nelamangala,2,Unknown Society,820,2,2,30
Super built-up Area,Ready to move,Richmond Town,4,Unknown Society,2230,4,1,792
Built-up Area,Ready to move,Hebbal,2,Srntsha,1200,2,2,52
Super built-up Area,Ready to move,Ramagondanahalli,2,ViistLa,1151,2,2,43
Super built-up Area,Ready to move,Hulimavu,3,Naepa D,1320,2,2,59
Carpet Area,Ready to move,Bikasipura,3,Unknown Society,1450,3,2,68
Super built-up Area,Ready to move,Poorna Pragna Layout,3,Unknown Society,1270,2,3,50
Super built-up Area,Ready to move,Hegde Nagar,3,SoitaCa,1847,3,2,123
Super built-up Area,Ready to move,Devanahalli,1,Pardsri,1020,2,1,49
Super built-up Area,Ready to move,Somasundara Palya,3,ManceEl,1650,3,1,95
Super built-up Area,Ready to move,Richmond Town,4,Unknown Society,2380,4,3,242
Built-up Area,Ready to move,Electronic City,3,Unknown Society,2400,2,1,78
Super built-up Area,Ready to move,Begur Road,2,Dhalsh,1160,2,2,44
Super built-up Area,Ready to move,Haralur Road,4,SNnia E,2805,4,3,154
Super built-up Area,Ready to move,Mysore Road,3,Gopia O,1360,3,0,47
Super built-up Area,Ready to move,Brookefield,2,Saandvi,1089,2,1,49
Super built-up Area,Ready to move,Yelahanka,2,Reverve,1115,2,2,60
Super built-up Area,Ready to move,Kudlu Gate,2,Unknown Society,1215,2,1,45
Super built-up Area,Ready to move,Sarjapur Road,2,Unknown Society,1194,2,1,51
Super built-up Area,Ready to move,Kannamangala,3,Sonue A,1536,3,1,104
Super built-up Area,Ready to move,Hennur,2,Unknown Society,1255,2,2,55
Super built-up Area,Ready to move,Electronic City,3,Prarkun,1571,3,2,83
Plot Area,Ready to move,Virupakshapura,2,Unknown Society,900,1,0,70
Super built-up Area,Ready to move,Keshava Nagar,2,ETens G,1517,2,2,125
Super built-up Area,Ready to move,Budigere,1,PrityTr,664,1,1,35
Super built-up Area,Ready to move,Devarachikkanahalli,2,Wiaysld,1230,2,1,58
Super built-up Area,Ready to move,Hegde Nagar,2,Inaadd,1340,2,2,72
Super built-up Area,Ready to move,Attibele,2,DSv ar S,1175,2,1,29
Plot Area,Ready to move,Benson Town,4,Unknown Society,3569,4,1,600
Super built-up Area,Ready to move,Sarjapur,2,Unknown Society,1240,2,2,43
Built-up Area,Ready to move,V.V Puram,3,Unknown Society,151.11Sq. Yards,2,0,150
Super built-up Area,Ready to move,Electronic City,3,DSgmax,1470,2,1,44
Super built-up Area,Ready to move,Kanakpura Road,1,PrarePa,525,Unknown Society,1,29
Super built-up Area,Ready to move,7th Phase JP Nagar,3,Eladero,1680,3,2,117
Super built-up Area,Ready to move,Sri Sai Layout,2,Unknown Society,1000,2,2,35
Super built-up Area,Ready to move,Gunjur,2,MyhtsHe,1071,2,1,51
Super built-up Area,Ready to move,Sector 2 HSR Layout,3,NDpalSe,1512,3,1,80
Built-up Area,Ready to move,Frazer Town,4,Asuilnc,3435,2,1,341
Super built-up Area,Ready to move,Thanisandra main road,3,Unknown Society,3144,3,1,455
Built-up Area,Ready to move,Kalyan nagar,2,Saacela,1190,2,1,60
Super built-up Area,Ready to move,Pattandur Agrahara,3,MaidoPl,1550,2,3,80
Super built-up Area,Ready to move,Kanakpura Road,2,GolusLi,1283,2,2,63
Built-up Area,Ready to move,Mallasandra,2,GMilse,1325,2,2,73
Super built-up Area,Ready to move,Whitefield,2,SMuilan,1105,2,1,35
Super built-up Area,Ready to move,Banaswadi,3,Srldsri,1600,3,2,74
Plot Area,Ready to move,Devara Jeevanahalli,4,Unknown Society,400,2,2,35
Super built-up Area,Ready to move,Kanakpura Road,2,PrarePa,700,Unknown Society,1,41
Super built-up Area,Ready to move,Hennur,2,Unknown Society,1100,2,1,44
Super built-up Area,Ready to move,Talaghattapura,3,Sodgere,2099,3,3,147
Super built-up Area,Ready to move,Yelachenahalli,3,BaiseBa,1365,2,1,72
Super built-up Area,Ready to move,Hebbal Kempapura,2,Goateds,1485,3,3,132
Super built-up Area,Ready to move,Hosur Road,2,Kelmsoy,1250,2,1,55
Super built-up Area,Ready to move,Chikkalasandra,3,Unknown Society,1290,2,2,56
Super built-up Area,Ready to move,Bellandur,2,Unknown Society,1170,2,1,46
Super built-up Area,Ready to move,Kanakpura Road,2,Soazak,1328,2,3,91
Super built-up Area,Ready to move,Hennur Road,2,Puachal,1232,2,1,87
Super built-up Area,Ready to move,1st Phase JP Nagar,2,Unknown Society,1180,2,2,88
Super built-up Area,Ready to move,Electronic City,3,Palleon,1350,3,2,66
Super built-up Area,Ready to move,Nagawara Junction,4,Unknown Society,3602,4,1,280
Super built-up Area,Ready to move,Nagasandra,4,Unknown Society,2400,4,1,145
Super built-up Area,Ready to move,Electronic City Phase II,2,Prvanai,1020,2,2,32
Super built-up Area,Ready to move,Begur Road,3,Dhalsh,1410,2,3,49
Built-up Area,Ready to move,Vishwanatha Nagenahalli,3,PrBayGa,2159,3,2,120
Plot Area,Ready to move,Anekal,Unknown Society,Vaensnd,1453,Unknown Society,1,16
Super built-up Area,Ready to move,TC Palaya,3,Unknown Society,1200,2,0,66
Super built-up Area,Ready to move,Hennur,2,Shateor,1255,2,1,57
Super built-up Area,Ready to move,Whitefield,2,ARipsul,1074,2,1,42
Plot Area,Ready to move,Suragajakkanahalli,3,PrhyaK,1200,3,2,72
Super built-up Area,Ready to move,Sarjapur,3,SNityVe,1170,2,2,35
Super built-up Area,Ready to move,Tumkur Road,1,Coowsri,596,1,0,31
Super built-up Area,Ready to move,Bommanahalli,3,PindsWo,1660,2,1,100
Plot Area,Ready to move,Gattigere,5,Unknown Society,900,6,1,95
Built-up Area,Ready to move,SK Garden,6,Unknown Society,1850,3,0,175
Built-up Area,Ready to move,Gowdanapalya,1,Unknown Society,510,1,0,34
Super built-up Area,Ready to move,Mahadevpura,3,Neony H,1601,3,2,95
Super built-up Area,Ready to move,Begur Road,2,Unknown Society,952,2,1,42
Super built-up Area,Ready to move,PNS Layout,2,Unknown Society,1166,2,3,65
Built-up Area,Ready to move,Venkatapura,3,ThBayah,2700,2,1,260
Built-up Area,Ready to move,Electronic City Phase II,4,Rie 2 P,1900,3,1,97
Plot Area,Ready to move,Mathikere,3,Unknown Society,1350,2,0,175
Super built-up Area,Ready to move,Haralur Road,3,SNnia E,1520,2,2,96
Plot Area,Ready to move,Harsha Layout,4,Unknown Society,2100,6,3,100
Super built-up Area,Ready to move,Yelenahalli,2,Unknown Society,1175,2,2,50
Super built-up Area,Ready to move,Bharathi Nagar,2,ReudePr,1432,2,2,68
Super built-up Area,Ready to move,Bommasandra Industrial Area,2,Unknown Society,1005,2,1,39
Super built-up Area,Ready to move,Rajiv Nagar,2,Unknown Society,1309,2,1,80
Super built-up Area,Ready to move,Dairy Circle,3,Soeurri,2251,4,2,370
Super built-up Area,Ready to move,7th Phase JP Nagar,2,Brnia G,1050,2,1,77
Super built-up Area,Ready to move,Kanakpura Road,3,PrarePa,1100,3,2,53
Plot Area,Ready to move,Sanjay nagar,3,Unknown Society,2400,3,3,310
Super built-up Area,Ready to move,Begur Road,3,Dhalsh,1565,2,2,56
Built-up Area,Ready to move,1st Stage Indira Nagar,2,Unknown Society,940,2,1,56
Super built-up Area,Ready to move,Yarandahalli,2,Unknown Society,1015,2,1,40
Plot Area,Ready to move,BTM 2nd Stage,3,Unknown Society,2400,2,0,360
Super built-up Area,Ready to move,Electronic City,3,SJityVe,1652,3,3,110
Super built-up Area,Ready to move,Whitefield,2,Unknown Society,1100,2,2,52
Super built-up Area,Ready to move,Rajiv Nagar,4,PuoodSk,2340,4,1,145
Super built-up Area,Ready to move,Koramangala,2,G ceses,1084,2,1,179
Plot Area,Ready to move,Kammanahalli,2,Unknown Society,1200,1,1,81
Super built-up Area,Ready to move,Kacharakanahalli,3,JPoldGo,1400,3,3,69
Plot Area,Ready to move,HBR Layout,4,Unknown Society,2400,5,0,320
Super built-up Area,Ready to move,Electronic City Phase II,2,Sryalan,1020,2,1,27
Super built-up Area,Ready to move,Whitefield,2,PritaDo,1267,2,1,90
Super built-up Area,Ready to move,Bhoganhalli,4,Pride S,2439,4,3,185
Built-up Area,Ready to move,Ashwath Nagar,3,SJcerpe,1645,3,1,95
Super built-up Area,Ready to move,Sahakara Nagar,3,Unknown Society,1100,2,2,75
Built-up Area,Ready to move,Electronic City,3,Unknown Society,1320,2,1,38
Super built-up Area,Ready to move,Ananth Nagar,2,Unknown Society,1000,2,1,29
Built-up Area,Ready to move,Whitefield,4,Chllea,5000,5,2,550
Built-up Area,Ready to move,KR Puram,6,Unknown Society,2500,6,3,58
Plot Area,Ready to move,Kengeri Satellite Town,2,Unknown Society,2480,2,1,160
Built-up Area,Ready to move,Kalyan nagar,2,JRaderc,1086,2,2,44
Super built-up Area,Ready to move,Kengeri,1,VBn 2lm,416,1,1,18
Built-up Area,Ready to move,Hennur Road,2,Koagati,1066,2,1,52
Super built-up Area,Ready to move,OMBR Layout,3,Inntsa,1730,3,1,93
Super built-up Area,Ready to move,Balagere,2,Soresea,1205,2,1,63
Super built-up Area,Ready to move,Marathahalli,4,Prionad,2500,5,2,175
Super built-up Area,Ready to move,Subramanyapura,2,DStik S,960,2,1,55
Super built-up Area,Ready to move,Haralur Road,3,SNnia E,1510,3,2,83
Built-up Area,Ready to move,Kanaka Nagar,4,Unknown Society,1600,4,2,90
Built-up Area,Ready to move,Old Madras Road,3,GRlas V,2300,3,2,142
Built-up Area,Ready to move,Jakkasandra Extension,2,Unknown Society,1000,2,1,63
Super built-up Area,Ready to move,Poorna Pragna Layout,2,Unknown Society,1160,2,1,46
Super built-up Area,Ready to move,Hormavu,3,Unknown Society,1553,2,2,58
Super built-up Area,Ready to move,Frazer Town,4,Asuilnc,3436,5,1,345
Super built-up Area,Ready to move,Seegehalli,2,Unknown Society,1134,2,2,45
Plot Area,Ready to move,Nagasandra,4,Unknown Society,600,4,2,80
Plot Area,Ready to move,Horamavu Agara,5,Unknown Society,2400,3,3,80
Plot Area,Ready to move,Whitefield,4,Unknown Society,2400,4,1,143
Super built-up Area,Ready to move,Nagashetty Halli,2,Unknown Society,1350,2,2,65
Super built-up Area,Ready to move,Sarjapur,2,Unknown Society,1032,2,1,42
Super built-up Area,Ready to move,Tigalarpalya,3,Spess C,1998,3,2,117
Super built-up Area,Ready to move,Murugeshpalya,2,Unknown Society,1225,2,2,48
Super built-up Area,Ready to move,Sarjapur Road,2,Contsci,1262,2,2,67
Super built-up Area,Ready to move,Badavala Nagar,3,DNncasa,1842,3,2,115
Super built-up Area,Ready to move,Thomas Town,2,TuiteIn,1300,2,1,60
Super built-up Area,Ready to move,Kothannur,2,Unknown Society,1070,2,2,38
Super built-up Area,Ready to move,Balagere,2,Soresea,1012,2,1,53
Built-up Area,Ready to move,TC Palaya,2,Unknown Society,1000,2,0,70
Super built-u p Area,Ready to move,Kadugodi,2,KMnorab,1394,2,2,56
Super built-up Area,Ready to move,Amruthahalli,3,Prentra,1450,2,1,85
Super built-up Area,Ready to move,Banaswadi,1,Krntsee,527,1,0,35
Super built-up Area,Ready to move,Sarjapur Road,3,Adeatlm,1693,3,2,125
Super built-up Area,Ready to move,Thigalarapalya,4,Prtanha,3122,6,2,235
Super built-up Area,Ready to move,Horamavu Agara,2,DSireSo,1000,2,1,46
Built-up Area,Ready to move,Kogilu,2,Unknown Society,952,2,2,49
Super built-up Area,Ready to move,Malleshwaram,3,Maens G,2050,4,1,270
Super built-up Area,Ready to move,Kengeri,1,Unknown Society,1200,1,1,14
Super built-up Area,Ready to move,Mysore Road,3,Brama P,1410,2,2,64
Super built-up Area,Ready to move,Hebbal Kempapura,2,Goateds,1400,2,2,108
Plot Area,Ready to move,Chikka Tirupathi,4,Theanmp,3056,5,1,100
Super built-up Area,Ready to move,Sarjapur Road,3,Saitya,1826,3,2,125
Super built-up Area,Ready to move,Hosur Road,3,PuendWe,1689,3,2,103
Super built-up Area,Ready to move,Bisuvanahalli,3,Prityel,1075,2,1,31
Super built-up Area,Ready to move,Bannerghatta Road,5,Unknown Society,2500,4,1,1400
Super built-up Area,Ready to move,Hennur,2,Unknown Society,960,2,1,48
Built-up Area,Ready to move,Channasandra,2,Unknown Society,808,2,1,40
Super built-up Area,Ready to move,Kodichikkanahalli,2,Unknown Society,907,2,2,38
Super built-up Area,Ready to move,Uttarahalli,2,AkncyRe,1300,2,2,55
Super built-up Area,Ready to move,Sector 1 HSR Layout,3,SodilDa,1804,3,2,150
Super built-up Area,Ready to move,Naidu Layout,3,Unknown Society,1350,3,2,81
Super built-up Area,Ready to move,Whitefield,3,Priew P,1836,3,2,125
Super built-up Area,Ready to move,Sugama Layout,2,Pry 2 R,826,2,2,36
Super built-up Area,Ready to move,Hormavu,2,Undraro,1200,2,3,68
Super built-up Area,Ready to move,1st Block Koramangala,4,Unknown Society,3000,3,3,300
Plot Area,Ready to move,Indira Nagar,4,Unknown Society,2400,4,2,405
Super built-up Area,Ready to move,6th Phase JP Nagar,2,JClyner,1460,2,1,80
Plot Area,Ready to move,Hoskote,4,Dhistee,1200,4,3,140
Super built-up Area,Ready to move,BTM 2nd Stage,2,Vincyat,965,2,2,56
Carpet Area,Ready to move,Kothannur,4,Unknown Society,2000,4,2,95
Super built-up Area,Ready to move,Bhoganhalli,3,Amconi,1395,2,2,70
Super built-up Area,Ready to move,Sarjapur Road,3,DSndsod,1660,3,2,116
Super built-up Area,Ready to move,Kada Agrahara,2,Unknown Society,935,2,2,35
Super built-up Area,Ready to move,Hongasandra,2,Srrtsu,1180,2,1,39
Built-up Area,Ready to move,Electronic City,2,Unknown Society,1090,2,1,31
Super built-up Area,Ready to move,Kanakpura Road,2,PrityFa,1204,2,1,82
Super built-up Area,Ready to move,Thigalarapalya,3,Prtanha,2072,4,2,153
Built-up Area,Ready to move,Haralur Road,2,Zostaa,1056,2,1,65
Super built-up Area,Ready to move,Hebbal,2,Magiaya,985,2,2,62
Super built-up Area,Ready to move,Banashankari Stage V,3,Unknown Society,1315,2,2,49
Built-up Area,Ready to move,KR Puram,2,Unknown Society,734,2,1,22
Built-up Area,Ready to move,Kammanahalli,4,Unknown Society,2900,4,2,200
Super built-up Area,Ready to move,Yelahanka,3,Niareum,2317,4,3,140
Built-up Area,Ready to move,Singasandra,1,Unknown Society,600,1,0,45
Built-up Area,Ready to move,Vishwanatha Nagenahalli,4,Unknown Society,2200,3,0,115
Super built-up Area,Ready to move,Attibele,2,Jae 2hu,656,2,1,25
Built-up Area,Ready to move,Attibele,1,Jae 2hu,400,1,1,11
Super built-up Area,Ready to move,Yeshwanthpur,1,IBityin,666,1,1,36
Plot Area,Ready to move,Kadubeesanahalli,4,Unknown Society,3293,5,2,425
Super built-up Area,Ready to move,7th Phase JP Nagar,2,Shncyes,1174,2,1,47
Super built-up Area,Ready to move,Budigere,2,PrityTr,1153,2,2,56
Plot Area,Ready to move,Jalahalli,4,Unknown Society,1000,4,1,90
Built-up Area,Ready to move,Narayanapura,5,Unknown Society,2400,5,2,85
Super built-up Area,Ready to move,Marathahalli,2,Unknown Society,957,2,1,47
Built-up Area,Ready to move,Banashankari Stage III,2,Say 3 R,910,2,2,160
Built-up Area,Ready to move,Sarjapur Road,2,Unknown Society,1060,2,1,50
Super built-up Area,Ready to move,Banashankari,2,Unknown Society,1000,2,1,50
Super built-up Area,Ready to move,Kanakpura Road,3,PuandHi,1843,3,2,88
Super built-up Area,Ready to move,Kanakpura Road,3,Unknown Society,1150,2,2,40
Super built-up Area,Ready to move,Chandapura,3,SunceEs,1230,2,2,31
Super built-up Area,Ready to move,Kodihalli,4,Soianal,3197,5,2,335
Super built-up Area,Ready to move,Kanakpura Road,3,Soazak,1703,3,2,130
Super built-up Area,Ready to move,Kaval Byrasandra,2,DencyRe,1125,2,1,41
Super built-up Area,Ready to move,Battarahalli,3,SraveHi,1516,3,3,65
Super built-up Area,Ready to move,Brookefield,2,Srluei,1130,2,2,56
Super built-up Area,Ready to move,Iblur Village,4,Emine P,3596,5,1,279
Super built-up Area,Ready to move,Hosa Road,3,Sosisic,1512,3,2,103
Built-up Area,Ready to move,Thanisandra,3,Bhmesy,1491,3,1,88
Super built-up Area,Ready to move,Cox Town,2,Eledst,1250,2,2,95
Super built-up Area,Ready to move,Banashankari,3,Unknown Society,1650,3,2,90
Super built-up Area,Ready to move,Raja Rajeshwari Nagar,2,GrrvaGr,1140,2,1,48
Plot Area,Ready to move,Behind Don Bosco Church,4,Unknown Society,1200,4,1,110
Super built-up Area,Ready to move,Thanisandra,3,Rehtsna,1881,3,1,95
Super built-up Area,Ready to move,Kanakpura Road,3,PrarePa,1100,3,2,56
Super built-up Area,Ready to move,Iblur Village,3,Emine P,2666,4,1,200
Super built-up Area,Ready to move,Bagalur,2,Unknown Society,1500,2,1,50
Super built-up Area,Ready to move,Seshadripuram,2,Unknown Society,1217,2,1,164
Built-up Area,Ready to move,Whitefield,2,Unknown Society,1197,2,1,50
Built-up Area,Ready to move,BHEL Layout,6,Unknown Society,2400,4,1,170
Built-up Area,Ready to move,Gollarapalya Hosahalli,3,Mauner,1345,3,2,60
Plot Area,Ready to move,KR Puram,4,IJent A,1200,4,2,100
Super built-up Area,Ready to move,Bannerghatta Road,4,Anineu,3230,5,0,165
Super built-up Area,Ready to move,Banashankari Stage II,3,Unknown Society,1260,2,1,95
Built-up Area,Ready to move,Sarjapur Road,4,VaMarll,2750,5,1,240
Plot Area,Ready to move,9th Phase JP Nagar,2,Unknown Society,1200,2,0,80
Built-up Area,Ready to move,Devara Jeevanahalli,3,Unknown Society,1650,3,0,52
Super built-up Area,Ready to move,1st Block HBR Layout,1,Unknown Society,600,1,0,45
Super built-up Area,Ready to move,Uttarahalli,2,Shony S,1025,2,1,35
Super built-up Area,Ready to move,Sarjapur,4,Kinuerg,1925,Unknown Society,1,80
Super built-up Area,Ready to move,Hennur Road,2,Koagati,973,2,1,56
Super built-up Area,Ready to move,Thanisandra main road,4,Unknown Society,4110,4,2,590
Super built-up Area,Ready to move,Rajaji Nagar,3,PhestOn,2533,3,3,425
Super built-up Area,Ready to move,Balagere,2,Soresea,1007,2,1,75
Super built-up Area,Ready to move,Hosa Road,1,Skume R,615,1,0,39
Built-up Area,Ready to move,Sarjapur Road,3,Unknown Society,1830,3,1,119
Super built-up Area,Ready to move,Nagavara,2,Unknown Society,1077,2,1,50
Plot Area,Ready to move,Immadihalli,1,Unknown Society,672,1,1,27
Plot Area,Ready to move,Shanthi Layout,3,Unknown Society,1280,3,0,87
Built-up Area,Ready to move,Electronics City Phase 1,2,Unknown Society,865,2,0,40
Super built-up Area,Ready to move,Kalena Agrahara,2,ARomee,1000,2,2,33
Super built-up Area,Ready to move,CV Raman Nagar,2,Chhamku,1285,2,2,65
Super built-up Area,Ready to move,Thanisandra,1,Pronyt,662,1,1,29
Plot Area,Ready to move,Whitefield,5,PrOakSi,2297,5,2,269
Plot Area,Ready to move,Sarjapura Attibele Road,5,Unknown Society,3750,6,3,295
Super built-up Area,Ready to move,Kalkere,3,Sothin,1850,3,3,95
Super built-up Area,Ready to move,Harlur,3,Unknown Society,1754,3,2,132
Plot Area,Ready to move,Hennur Bande,5,Unknown Society,1200,4,2,150
Plot Area,Ready to move,1st Phase JP Nagar,5,Unknown Society,2200,7,2,350
Super built-up Area,Ready to move,Anugrah Layout,3,Saavena,1567,3,1,100
Super built-up Area,Ready to move,Hoskote,3,Thiced,1695,3,3,50
Plot Area,Ready to move,Hosahalli Extension,2,Unknown Society,360,2,1,40
Super built-up Area,Ready to move,Bellandur,2,Srdids,1150,2,1,69
Super built-up Area,Ready to move,Akshaya Nagar,3,DLhtsnd,1690,3,2,85
Built-up Area,Ready to move,1st Block Koramangala,3,Unknown Society,2350,3,2,210
Super built-up Area,Ready to move,Karuna Nagar,2,AjityIn,1057,2,1,65
Super built-up Area,Ready to move,Hebbal,2,Raard B,1320,2,1,91
Super built-up Area,Ready to move,Bhoganhalli,4,Rosha I,2119,4,3,111
Super built-up Area,Ready to move,Bandepalya,2,Jaity H,1125,2,1,48
Super built-up Area,Ready to move,Kanakpura Road,3,Unknown Society,2254,3,2,170
Super built-up Area,Ready to move,Balagere,1,Soresea,645,1,1,34
Super built-up Area,Ready to move,Rachenahalli,2,Unknown Society,1050,2,2,52
Super built-up Area,Ready to move,Panathur,2,Saite G,1040,2,1,41
Super built-up Area,Ready to move,Sarjapur Road,3,PualeSk,1700,3,1,194
Super built-up Area,Ready to move,1st Block Jayanagar,3,Unknown Society,1760,3,1,115
Super built-up Area,Ready to move,Bellandur,3,NiCodCa,1138,3,2,128
Super built-up Area,Ready to move,Sarjapur Road,2,AsastDe,984,2,1,45
Built-up Area,Ready to move,Raja Rajeshwari Nagar,2,GrrvaGr,1140,2,2,38
Super built-up Area,Ready to move,Whitefield,3,Eznuee,3596,3,1,200
Super built-up Area,Ready to move,Kalkere,3,Unknown Society,1365,3,2,54
Super built-up Area,Ready to move,Bethel Nagar,1,Unknown Society,560,1,0,19
Super built-up Area,Ready to move,Vittasandra,2,Prlla C,1404,2,1,75
Super built-up Area,Ready to move,Bellandur,4,Unknown Society,1540,4,3,45
Built-up Area,Ready to move,Electronic City,3,KBityo,1050,2,1,39
Plot Area,Ready to move,Lingarajapuram,4,Unknown Society,360,4,3,37
Super built-up Area,Ready to move,Rachenahalli,3,Sovar S,1550,3,3,72
Super built-up Area,Ready to move,Yelahanka,3,Niareum,1653,3,3,93
Super built-up Area,Ready to move,Parappana Agrahara,2,Peide L,1194,2,2,47
Super built-up Area,Ready to move,Narayana Nagar 1st Block,3,Krite D,1471,2,3,75
Super built-up Area,Ready to move,Kanakpura Road,2,Unknown Society,700,2,1,35
Built-up Area,Ready to move,Kudlu Gate,2,Wharl P,812,2,1,38
Super built-up Area,Ready to move,8th Phase JP Nagar,3,GRhtsei,1504,2,2,83
